"t","Psi","X","Mu","sample"
0,0,1,0,"0"
0.0414828667162139,0,2,0,"0"
0.045574670695298,0,3,0,"0"
0.0518857164910591,1,2,0,"0"
0.144539229194617,1,3,0,"0"
0.148690694032202,1,4,0,"0"
0.154277011781322,1,5,0,"0"
0.163646146409292,1,4,1,"0"
0.177501124323697,1,5,1,"0"
0.190986569435847,1,4,2,"0"
0.206821783245838,1,5,2,"0"
0.212384127979679,1,6,2,"0"
0.228925327083429,1,7,2,"0"
0.232756350235396,2,6,2,"0"
0.272357812044411,2,5,3,"0"
0.320466415854765,2,4,4,"0"
0.337479526631021,2,5,4,"0"
0.339777759828334,2,4,5,"0"
0.341242923543972,2,5,5,"0"
0.363881910555224,2,6,5,"0"
0.403598907218798,2,7,5,"0"
0.405452358773281,2,8,5,"0"
0.406903170656828,3,7,5,"0"
0.407315304336575,3,8,5,"0"
0.425842596946482,3,9,5,"0"
0.436455164095234,3,8,6,"0"
0.448478335924145,3,9,6,"0"
0.450575527129894,3,10,6,"0"
0.45860423627554,3,11,6,"0"
0.461242653553564,3,12,6,"0"
0.462007625727045,4,11,6,"0"
0.46340560132398,4,12,6,"0"
0.464015447412756,4,13,6,"0"
0.466617913620511,4,14,6,"0"
0.468130122513535,4,13,7,"0"
0.473489463625737,4,12,8,"0"
0.477307485759906,4,13,8,"0"
0.488962609885659,5,12,8,"0"
0.489147409625684,5,13,8,"0"
0.500170857487283,5,14,8,"0"
0.503987243230192,5,13,9,"0"
0.524039711192674,5,14,9,"0"
0.529260567234099,5,13,10,"0"
0.535687418084402,5,14,10,"0"
0.545716028629392,5,15,10,"0"
0.549569531228714,5,16,10,"0"
0.553849413693896,5,17,10,"0"
0.556050600797334,5,16,11,"0"
0.567684960794471,5,17,11,"0"
0.571193027082877,5,16,12,"0"
0.589861515310474,5,17,12,"0"
0.596798699582485,6,16,12,"0"
0.599902517861916,7,15,12,"0"
0.602132317484444,7,16,12,"0"
0.615655285295538,8,15,12,"0"
0.61791164204276,9,14,12,"0"
0.633630768503687,9,15,12,"0"
0.634309605490626,9,16,12,"0"
0.638743859579877,9,15,13,"0"
0.645679785460436,9,16,13,"0"
0.654262072892423,10,15,13,"0"
0.658905846371855,10,16,13,"0"
0.664374641662814,10,17,13,"0"
0.67376096436683,10,16,14,"0"
0.67452734120182,10,17,14,"0"
0.676121904452354,10,18,14,"0"
0.68235828672918,11,17,14,"0"
0.682661549356685,11,16,15,"0"
0.689819374495396,11,17,15,"0"
0.691033576236668,11,18,15,"0"
0.699544316867489,11,19,15,"0"
0.710376431398764,11,20,15,"0"
0.711224216042137,11,21,15,"0"
0.717036681698448,11,22,15,"0"
0.723578069491107,11,21,16,"0"
0.725173276734945,11,20,17,"0"
0.727409749448623,11,19,18,"0"
0.731005853442598,11,20,18,"0"
0.734583550991775,12,19,18,"0"
0.734585479931699,13,18,18,"0"
0.742178661694334,13,19,18,"0"
0.742970355902766,13,18,19,"0"
0.743465583547972,13,17,20,"0"
0.746275218895277,14,16,20,"0"
0.756716284752468,14,17,20,"0"
0.759343888509683,14,18,20,"0"
0.763663380717888,14,19,20,"0"
0.763981073690782,14,18,21,"0"
0.775435107416592,14,19,21,"0"
0.779265512386704,14,20,21,"0"
0.781794087091978,14,21,21,"0"
0.782343941335882,14,22,21,"0"
0.785559781018149,14,23,21,"0"
0.785946720276083,14,22,22,"0"
0.78650673258008,14,23,22,"0"
0.787440340415725,14,24,22,"0"
0.787446159433139,14,25,22,"0"
0.787549966943395,14,26,22,"0"
0.791590080310072,14,27,22,"0"
0.79192151610721,14,28,22,"0"
0.79485836407381,14,29,22,"0"
0.796096856021945,14,28,23,"0"
0.807516503713711,14,29,23,"0"
0.808098541204016,14,30,23,"0"
0.810750329258848,15,29,23,"0"
0.81396283721195,15,30,23,"0"
0.818716572648825,15,31,23,"0"
0.823386452069858,15,32,23,"0"
0.826029723727388,15,31,24,"0"
0.827877513402338,15,32,24,"0"
0.829132315532652,15,31,25,"0"
0.830583055138833,15,32,25,"0"
0.83083767509476,15,33,25,"0"
0.831916832960595,15,32,26,"0"
0.834421806372779,15,31,27,"0"
0.835643535296237,15,32,27,"0"
0.835795731458191,15,31,28,"0"
0.836571381989023,16,30,28,"0"
0.837321348174494,16,31,28,"0"
0.842023484104247,16,30,29,"0"
0.843176338904078,16,31,29,"0"
0.848481922993742,16,32,29,"0"
0.848554578054408,16,33,29,"0"
0.84928905215128,16,34,29,"0"
0.850398050479483,16,35,29,"0"
0.851168694821882,16,36,29,"0"
0.855254819956584,16,35,30,"0"
0.855913382699619,16,36,30,"0"
0.856940881648429,16,37,30,"0"
0.857746989974223,16,38,30,"0"
0.861071734844457,16,37,31,"0"
0.861524688570582,16,38,31,"0"
0.862768801216838,16,39,31,"0"
0.87011781748469,16,38,32,"0"
0.873583139940437,16,39,32,"0"
0.878993620323738,16,40,32,"0"
0.879123595298124,16,41,32,"0"
0.879544997927525,16,42,32,"0"
0.88156037260031,16,41,33,"0"
0.883567006105621,16,42,33,"0"
0.88365740145455,16,43,33,"0"
0.884121121515915,17,42,33,"0"
0.89119570859576,18,41,33,"0"
0.892057406835272,18,40,34,"0"
0.90234673297217,18,41,34,"0"
0.90292387581008,19,40,34,"0"
0.903138793396993,19,39,35,"0"
0.907020440536893,19,40,35,"0"
0.909514479947766,19,39,36,"0"
0.91101721558606,19,38,37,"0"
0.913979620983843,19,39,37,"0"
0.91404183838008,19,40,37,"0"
0.915308571003357,19,41,37,"0"
0.915476142140868,19,42,37,"0"
0.91616803253928,19,41,38,"0"
0.919395730016057,19,42,38,"0"
0.923047071417932,19,41,39,"0"
0.924994158545001,19,42,39,"0"
0.925305244061167,19,43,39,"0"
0.925952802892628,19,44,39,"0"
0.926391836182698,19,45,39,"0"
0.926661001019339,19,46,39,"0"
0.927200874108452,19,47,39,"0"
0.929306519764881,19,48,39,"0"
0.929555132604345,19,49,39,"0"
0.93013035161198,19,50,39,"0"
0.932472421796516,19,51,39,"0"
0.933695124025647,19,52,39,"0"
0.933915718151664,19,51,40,"0"
0.935813775266237,19,50,41,"0"
0.93934800648393,19,49,42,"0"
0.941698339892515,19,50,42,"0"
0.942368007634811,19,51,42,"0"
0.945563812302799,20,50,42,"0"
0.949425991891323,20,51,42,"0"
0.949961943083634,20,50,43,"0"
0.951523353301909,20,51,43,"0"
0.954212789824801,20,52,43,"0"
0.961226806792992,20,53,43,"0"
0.961519998427306,21,52,43,"0"
0.962009151081783,21,53,43,"0"
0.963717573120701,21,54,43,"0"
0.965685879810743,21,53,44,"0"
0.965806158549457,21,52,45,"0"
0.967734381058062,21,51,46,"0"
0.970496048811368,21,52,46,"0"
0.973071070499485,22,51,46,"0"
0.973582357290637,23,50,46,"0"
0.978493716185555,23,51,46,"0"
0.981118765659124,23,52,46,"0"
0.981547964047176,23,53,46,"0"
0.982268665858028,23,54,46,"0"
0.985504100325356,23,53,47,"0"
0.986055525357413,24,52,47,"0"
0.987166395893755,24,53,47,"0"
0.987620169024005,24,54,47,"0"
0.988517949598822,24,55,47,"0"
0.988603667017038,24,56,47,"0"
0.991570741022183,24,57,47,"0"
0.992188275060168,24,58,47,"0"
0.992310950945686,24,57,48,"0"
0.993408998419657,24,56,49,"0"
0.994038922849514,24,57,49,"0"
0.996049915762598,24,58,49,"0"
0.996994875811811,24,57,50,"0"
0.997193699468889,25,56,50,"0"
0.997738000225309,25,55,51,"0"
1.00387866698274,25,56,51,"0"
1.00944902664475,25,57,51,"0"
1.0099051733034,25,58,51,"0"
1.01233766920321,25,57,52,"0"
1.01289096418774,25,58,52,"0"
1.01799157947851,26,57,52,"0"
1.01816455449418,27,56,52,"0"
1.01946300874001,27,55,53,"0"
1.02192219088286,27,54,54,"0"
1.02212939675173,27,55,54,"0"
1.02228809562224,27,54,55,"0"
1.02340749380948,28,53,55,"0"
1.02938605410334,28,54,55,"0"
1.02972458537443,28,53,56,"0"
1.03113460250598,29,52,56,"0"
1.03193736689206,29,51,57,"0"
1.034171134476,29,50,58,"0"
1.03830128505061,29,51,58,"0"
1.04106380418589,30,50,58,"0"
1.04576330425081,30,49,59,"0"
1.04674149603047,30,50,59,"0"
1.04750483771303,30,49,60,"0"
1.05260937029001,30,50,60,"0"
1.05279472620284,30,49,61,"0"
1.05565150840931,30,50,61,"0"
1.05947671719179,31,49,61,"0"
1.06024229250595,31,48,62,"0"
1.06113448158674,31,49,62,"0"
1.06188112085202,31,48,63,"0"
1.06360523086306,31,47,64,"0"
1.06662774646075,31,48,64,"0"
1.0691924598097,31,49,64,"0"
1.06935251478796,31,50,64,"0"
1.06941002855573,31,51,64,"0"
1.07106014370109,31,50,65,"0"
1.08113062809573,31,49,66,"0"
1.08409109095446,32,48,66,"0"
1.0913000152489,32,49,66,"0"
1.09821322554926,32,50,66,"0"
1.10631042105253,32,51,66,"0"
1.10882233476563,32,52,66,"0"
1.10924582808676,32,53,66,"0"
1.11187148131825,33,52,66,"0"
1.11205051239052,34,51,66,"0"
1.11338786575436,34,52,66,"0"
1.11378396540133,34,53,66,"0"
1.11846639529902,34,52,67,"0"
1.11899907160928,34,51,68,"0"
1.11910641689858,34,52,68,"0"
