"replicate","variable","value"
89,"TTBirthRate.1",693.626950764569
90,"TTBirthRate.1",490.271655707618
91,"TTBirthRate.1",1001
92,"TTBirthRate.1",726.320411864888
93,"TTBirthRate.1",1001
94,"TTBirthRate.1",737.694229218065
95,"TTBirthRate.1",869.980117693871
96,"TTBirthRate.1",819.545536439891
97,"TTBirthRate.1",1001
98,"TTBirthRate.1",883.587025732167
99,"TTBirthRate.1",1001
100,"TTBirthRate.1",880.837144495391
1,"TTBirthRate.2",275.881368204227
2,"TTBirthRate.2",873.807391526783
3,"TTBirthRate.2",780.097303573578
4,"TTBirthRate.2",1001
5,"TTBirthRate.2",1001
6,"TTBirthRate.2",526.450054949065
7,"TTBirthRate.2",896.255522853597
8,"TTBirthRate.2",706.942298956387
9,"TTBirthRate.2",990.408360914877
10,"TTBirthRate.2",404.546524972362
11,"TTBirthRate.2",591.174014099032
12,"TTBirthRate.2",595.105787077511
13,"TTBirthRate.2",594.424037130383
14,"TTBirthRate.2",617.193420794006
15,"TTBirthRate.2",827.002258935979
16,"TTBirthRate.2",394.314850957863
17,"TTBirthRate.2",594.70661443843
18,"TTBirthRate.2",351.670684814287
19,"TTBirthRate.2",766.001994547437
20,"TTBirthRate.2",631.137027258642
21,"TTBirthRate.2",859.81557925891
22,"TTBirthRate.2",1001
23,"TTBirthRate.2",380.887514466744
24,"TTBirthRate.2",770.136611489754
25,"TTBirthRate.2",381.891598701936
26,"TTBirthRate.2",516.099652480461
27,"TTBirthRate.2",563.492308851734
28,"TTBirthRate.2",422.541133735809
29,"TTBirthRate.2",588.734764029545
30,"TTBirthRate.2",731.676146338508
31,"TTBirthRate.2",698.898185666181
32,"TTBirthRate.2",498.225597237218
33,"TTBirthRate.2",556.015755751937
34,"TTBirthRate.2",789.318226056957
35,"TTBirthRate.2",227.167144148075
36,"TTBirthRate.2",400.410610832039
37,"TTBirthRate.2",240.484189602959
38,"TTBirthRate.2",402.921564067687
39,"TTBirthRate.2",847.764685521342
40,"TTBirthRate.2",433.390386790113
41,"TTBirthRate.2",380.145334136129
42,"TTBirthRate.2",469.748099371668
43,"TTBirthRate.2",1001
44,"TTBirthRate.2",428.401756636502
45,"TTBirthRate.2",840.408065650996
46,"TTBirthRate.2",636.68533440865
47,"TTBirthRate.2",348.029603838547
48,"TTBirthRate.2",745.169076389738
49,"TTBirthRate.2",769.472348849457
50,"TTBirthRate.2",391.977867151864
51,"TTBirthRate.2",294.224818186985
52,"TTBirthRate.2",559.277789830603
53,"TTBirthRate.2",854.143874888563
54,"TTBirthRate.2",745.120720989999
55,"TTBirthRate.2",309.291790119867
56,"TTBirthRate.2",741.674975283572
57,"TTBirthRate.2",440.724813765829
58,"TTBirthRate.2",635.947091560658
59,"TTBirthRate.2",455.256523914186
60,"TTBirthRate.2",657.641975891258
61,"TTBirthRate.2",1001
62,"TTBirthRate.2",748.461019227566
63,"TTBirthRate.2",688.858636314525
64,"TTBirthRate.2",805.131321698334
65,"TTBirthRate.2",278.14589395352
66,"TTBirthRate.2",307.264010598511
67,"TTBirthRate.2",893.511132390964
68,"TTBirthRate.2",203.284543783622
69,"TTBirthRate.2",685.578194652655
70,"TTBirthRate.2",463.414135930544
71,"TTBirthRate.2",688.425919405212
72,"TTBirthRate.2",478.434930213876
73,"TTBirthRate.2",757.840924137359
74,"TTBirthRate.2",478.184693759068
75,"TTBirthRate.2",451.877015069305
76,"TTBirthRate.2",320.697528198183
77,"TTBirthRate.2",669.069494726255
78,"TTBirthRate.2",881.285886918851
79,"TTBirthRate.2",609.810924003402
80,"TTBirthRate.2",653.247484054808
81,"TTBirthRate.2",698.495762250453
82,"TTBirthRate.2",436.884576522565
83,"TTBirthRate.2",826.166907068769
84,"TTBirthRate.2",642.22742394383
85,"TTBirthRate.2",641.803134681591
86,"TTBirthRate.2",394.706384294534
87,"TTBirthRate.2",587.888338487818
88,"TTBirthRate.2",722.361506273465
89,"TTBirthRate.2",316.465696880945
90,"TTBirthRate.2",550.855150546316
91,"TTBirthRate.2",393.265452061911
92,"TTBirthRate.2",389.670904248051
93,"TTBirthRate.2",762.467633526351
94,"TTBirthRate.2",384.333972489203
95,"TTBirthRate.2",647.665514203964
96,"TTBirthRate.2",257.705425567331
97,"TTBirthRate.2",813.913549694209
98,"TTBirthRate.2",556.92191500909
99,"TTBirthRate.2",657.090625620688
100,"TTBirthRate.2",482.621895620708
1,"TTSamplingRate",774.438204419452
2,"TTSamplingRate",1001
3,"TTSamplingRate",870.023121912693
4,"TTSamplingRate",1001
5,"TTSamplingRate",1207.1259513639
6,"TTSamplingRate",850.532924530316
7,"TTSamplingRate",797.573024080631
8,"TTSamplingRate",829.877479933964
9,"TTSamplingRate",1001
10,"TTSamplingRate",1001
11,"TTSamplingRate",863.807101599756
12,"TTSamplingRate",1001
13,"TTSamplingRate",912.318991484068
14,"TTSamplingRate",1001
15,"TTSamplingRate",1001
16,"TTSamplingRate",857.723122572133
17,"TTSamplingRate",1001
18,"TTSamplingRate",1006.40832754173
19,"TTSamplingRate",823.944904665065
20,"TTSamplingRate",967.945281497697
21,"TTSamplingRate",914.362244350519
22,"TTSamplingRate",862.763966549432
23,"TTSamplingRate",799.944987554023
24,"TTSamplingRate",1001
25,"TTSamplingRate",899.460441475428
26,"TTSamplingRate",1001
27,"TTSamplingRate",1001
28,"TTSamplingRate",1001
29,"TTSamplingRate",683.902324915517
30,"TTSamplingRate",1001
31,"TTSamplingRate",900.342166489121
32,"TTSamplingRate",879.495320683659
33,"TTSamplingRate",899.507166503527
34,"TTSamplingRate",719.342741765248
35,"TTSamplingRate",870.190868834647
36,"TTSamplingRate",1001
37,"TTSamplingRate",870.584226221673
38,"TTSamplingRate",1001
39,"TTSamplingRate",749.973765320726
40,"TTSamplingRate",1137.7075453149
41,"TTSamplingRate",1001
42,"TTSamplingRate",887.211182871873
43,"TTSamplingRate",730.022561883032
44,"TTSamplingRate",1001
45,"TTSamplingRate",880.641933159549
46,"TTSamplingRate",1001
47,"TTSamplingRate",808.193817977221
48,"TTSamplingRate",862.039568844367
49,"TTSamplingRate",778.278192598551
50,"TTSamplingRate",1001
51,"TTSamplingRate",1001
52,"TTSamplingRate",1001
53,"TTSamplingRate",778.595794607307
54,"TTSamplingRate",1001
55,"TTSamplingRate",843.45846351471
56,"TTSamplingRate",787.699951695952
57,"TTSamplingRate",1001
58,"TTSamplingRate",1001
59,"TTSamplingRate",890.093215214604
60,"TTSamplingRate",1001
61,"TTSamplingRate",1001
62,"TTSamplingRate",1176.19743091244
63,"TTSamplingRate",921.389959516173
64,"TTSamplingRate",1001
65,"TTSamplingRate",1001
66,"TTSamplingRate",1001
67,"TTSamplingRate",878.924672412441
68,"TTSamplingRate",1001
69,"TTSamplingRate",1001
70,"TTSamplingRate",839.681627404631
71,"TTSamplingRate",775.300099599976
72,"TTSamplingRate",790.939091893851
73,"TTSamplingRate",1001
74,"TTSamplingRate",1001
75,"TTSamplingRate",1155.85165792522
76,"TTSamplingRate",1001
77,"TTSamplingRate",1001
78,"TTSamplingRate",1001
79,"TTSamplingRate",758.697072064573
80,"TTSamplingRate",884.517436599754
81,"TTSamplingRate",1001
82,"TTSamplingRate",1002.94978468191
83,"TTSamplingRate",1001
84,"TTSamplingRate",834.782495057671
85,"TTSamplingRate",1001
86,"TTSamplingRate",779.536716809746
87,"TTSamplingRate",806.698075457891
88,"TTSamplingRate",1001
89,"TTSamplingRate",802.677604198644
90,"TTSamplingRate",839.523666777741
91,"TTSamplingRate",1001
92,"TTSamplingRate",1001
93,"TTSamplingRate",885.963647641564
94,"TTSamplingRate",1034.82352781209
95,"TTSamplingRate",854.039222910408
96,"TTSamplingRate",1001
97,"TTSamplingRate",1001
