"replicate","variable","value"
27,"TTBirthRate.2",815.736872979295
28,"TTBirthRate.2",389.629364378415
29,"TTBirthRate.2",674.580272983561
30,"TTBirthRate.2",650.187981419112
31,"TTBirthRate.2",873.983915969461
32,"TTBirthRate.2",710.200505679678
33,"TTBirthRate.2",595.476444254009
34,"TTBirthRate.2",786.890422716764
35,"TTBirthRate.2",331.386860586094
36,"TTBirthRate.2",400.583578624492
37,"TTBirthRate.2",312.984199205586
38,"TTBirthRate.2",582.625117821311
39,"TTBirthRate.2",1001
40,"TTBirthRate.2",436.729269748281
41,"TTBirthRate.2",355.212885547032
42,"TTBirthRate.2",428.93696388576
43,"TTBirthRate.2",865.300485107904
44,"TTBirthRate.2",540.515563849251
45,"TTBirthRate.2",1001
46,"TTBirthRate.2",629.353247865797
47,"TTBirthRate.2",361.012401014935
48,"TTBirthRate.2",939.665611447751
49,"TTBirthRate.2",730.38632780546
50,"TTBirthRate.2",512.091792434033
51,"TTBirthRate.2",336.652550920172
52,"TTBirthRate.2",679.980355200234
53,"TTBirthRate.2",856.028148134309
54,"TTBirthRate.2",685.700651114711
55,"TTBirthRate.2",469.383080766949
56,"TTBirthRate.2",767.200946732122
57,"TTBirthRate.2",504.205582096004
58,"TTBirthRate.2",850.226245644391
59,"TTBirthRate.2",518.401413861803
60,"TTBirthRate.2",688.124655210362
61,"TTBirthRate.2",837.821612287055
62,"TTBirthRate.2",386.667060564798
63,"TTBirthRate.2",664.623237161538
64,"TTBirthRate.2",636.252330107275
65,"TTBirthRate.2",270.094332860163
66,"TTBirthRate.2",375.690811728352
67,"TTBirthRate.2",875.194611294351
68,"TTBirthRate.2",352.548527175516
69,"TTBirthRate.2",553.207046238361
70,"TTBirthRate.2",501.656121012786
71,"TTBirthRate.2",614.469896844349
72,"TTBirthRate.2",388.561765531435
73,"TTBirthRate.2",749.229800377348
74,"TTBirthRate.2",727.611849366601
75,"TTBirthRate.2",475.797710596388
76,"TTBirthRate.2",268.08510007454
77,"TTBirthRate.2",773.923202405944
78,"TTBirthRate.2",803.28637441661
79,"TTBirthRate.2",638.795504931783
80,"TTBirthRate.2",871.043012661386
81,"TTBirthRate.2",652.644070633184
82,"TTBirthRate.2",626.88783732385
83,"TTBirthRate.2",1001
84,"TTBirthRate.2",991.037301671315
85,"TTBirthRate.2",752.228756666154
86,"TTBirthRate.2",485.280729212121
87,"TTBirthRate.2",699.898176631173
88,"TTBirthRate.2",656.660293476493
89,"TTBirthRate.2",362.148911783125
90,"TTBirthRate.2",575.349175177466
91,"TTBirthRate.2",328.623357591192
92,"TTBirthRate.2",534.507463381479
93,"TTBirthRate.2",645.585589942337
94,"TTBirthRate.2",402.627249850285
95,"TTBirthRate.2",509.168883369774
96,"TTBirthRate.2",351.377066295694
97,"TTBirthRate.2",633.143336952123
98,"TTBirthRate.2",878.236066109315
99,"TTBirthRate.2",740.997177419469
100,"TTBirthRate.2",538.302010172852
1,"TTSamplingRate",782.869593527391
2,"TTSamplingRate",1001
3,"TTSamplingRate",754.135124570878
4,"TTSamplingRate",881.145713442531
5,"TTSamplingRate",776.401022766386
6,"TTSamplingRate",841.362158897367
7,"TTSamplingRate",862.873715869596
8,"TTSamplingRate",895.456286951519
9,"TTSamplingRate",824.437337789269
10,"TTSamplingRate",897.960972419953
11,"TTSamplingRate",1001
12,"TTSamplingRate",1001
13,"TTSamplingRate",730.518728544055
14,"TTSamplingRate",824.594386644231
15,"TTSamplingRate",980.30953585436
16,"TTSamplingRate",776.892551017639
17,"TTSamplingRate",844.367079444429
18,"TTSamplingRate",1001
19,"TTSamplingRate",809.264570118976
20,"TTSamplingRate",1001
21,"TTSamplingRate",987.271708563365
22,"TTSamplingRate",835.77442439566
23,"TTSamplingRate",839.829835137304
24,"TTSamplingRate",890.456106004
25,"TTSamplingRate",1001
26,"TTSamplingRate",907.097756172691
27,"TTSamplingRate",1001
28,"TTSamplingRate",1001
29,"TTSamplingRate",1001
30,"TTSamplingRate",1001
31,"TTSamplingRate",881.222893459208
32,"TTSamplingRate",1001
33,"TTSamplingRate",1185.02135258683
34,"TTSamplingRate",847.13244660992
35,"TTSamplingRate",1001
36,"TTSamplingRate",813.228812871761
37,"TTSamplingRate",1001
38,"TTSamplingRate",860.234945945136
39,"TTSamplingRate",729.503007414646
40,"TTSamplingRate",770.515187756081
41,"TTSamplingRate",877.815037745277
42,"TTSamplingRate",778.235113007946
43,"TTSamplingRate",471.474501712282
44,"TTSamplingRate",1001
45,"TTSamplingRate",904.317123617428
46,"TTSamplingRate",836.617638880351
47,"TTSamplingRate",1001
48,"TTSamplingRate",820.313328475724
49,"TTSamplingRate",758.456463098869
50,"TTSamplingRate",1001
51,"TTSamplingRate",1001
52,"TTSamplingRate",1001
53,"TTSamplingRate",854.85689747344
54,"TTSamplingRate",1001
55,"TTSamplingRate",1001
56,"TTSamplingRate",808.892310858028
57,"TTSamplingRate",796.489319059927
58,"TTSamplingRate",841.889583131597
59,"TTSamplingRate",963.849644249551
60,"TTSamplingRate",1001
61,"TTSamplingRate",1001
62,"TTSamplingRate",907.070749507648
63,"TTSamplingRate",1001
64,"TTSamplingRate",1001
65,"TTSamplingRate",1001
66,"TTSamplingRate",1001
67,"TTSamplingRate",1001
68,"TTSamplingRate",1001
69,"TTSamplingRate",893.670650124246
70,"TTSamplingRate",840.694336236607
71,"TTSamplingRate",828.750889894239
72,"TTSamplingRate",1001
73,"TTSamplingRate",1001
74,"TTSamplingRate",1001
75,"TTSamplingRate",1001
76,"TTSamplingRate",860.36108541443
77,"TTSamplingRate",858.746898322569
78,"TTSamplingRate",1001
79,"TTSamplingRate",852.871452317137
80,"TTSamplingRate",1074.84119530556
81,"TTSamplingRate",896.239935707145
82,"TTSamplingRate",855.706523633157
83,"TTSamplingRate",1001
84,"TTSamplingRate",533.297382858408
85,"TTSamplingRate",1138.97599543346
86,"TTSamplingRate",959.674939340246
87,"TTSamplingRate",953.976954327516
88,"TTSamplingRate",1057.12706434638
89,"TTSamplingRate",1001
90,"TTSamplingRate",806.493545093128
91,"TTSamplingRate",841.727050763779
92,"TTSamplingRate",769.081018439055
93,"TTSamplingRate",897.334879946194
94,"TTSamplingRate",470.443582283318
95,"TTSamplingRate",803.824237273262
96,"TTSamplingRate",898.551557704121
97,"TTSamplingRate",828.942274869976
98,"TTSamplingRate",864.929945464892
99,"TTSamplingRate",852.873134475883
100,"TTSamplingRate",994.521745549818
1,"TTNuProb",659.969715990245
2,"TTNuProb",1001
3,"TTNuProb",653.079002479588
4,"TTNuProb",849.482998822649
5,"TTNuProb",733.965936788355
6,"TTNuProb",763.828484987912
7,"TTNuProb",789.954393572128
8,"TTNuProb",791.062753466703
9,"TTNuProb",1001
10,"TTNuProb",898.058886374236
11,"TTNuProb",756.487208264735
12,"TTNuProb",910.157153758102
13,"TTNuProb",546.432189912412
14,"TTNuProb",779.858681104285
15,"TTNuProb",869.691756453402
16,"TTNuProb",454.668526986651
17,"TTNuProb",739.29382942965
18,"TTNuProb",880.0092040793
19,"TTNuProb",1325.81274062558
20,"TTNuProb",768.735733701626
21,"TTNuProb",868.48349362307
22,"TTNuProb",821.147219474998
23,"TTNuProb",672.876058108288
24,"TTNuProb",885.348409242713
25,"TTNuProb",832.731420178471
26,"TTNuProb",833.032468220523
27,"TTNuProb",962.538293353013
28,"TTNuProb",1001
29,"TTNuProb",1001
30,"TTNuProb",663.037712286439
31,"TTNuProb",789.780846563527
32,"TTNuProb",792.562159017139
33,"TTNuProb",1001
34,"TTNuProb",811.919998043674
35,"TTNuProb",599.236070952036
36,"TTNuProb",830.015057092779
37,"TTNuProb",464.893547922251
38,"TTNuProb",897.434227906558
39,"TTNuProb",589.929957554222
40,"TTNuProb",872.152820523278
41,"TTNuProb",828.80352358752
42,"TTNuProb",649.200022204666
43,"TTNuProb",620.158945424884
44,"TTNuProb",723.532590230091
45,"TTNuProb",727.274138338172
46,"TTNuProb",698.6638389942
47,"TTNuProb",785.041115298631
48,"TTNuProb",909.729074571738
49,"TTNuProb",669.287695481127
50,"TTNuProb",752.444465986521
51,"TTNuProb",718.488965060934
52,"TTNuProb",903.561417375861
53,"TTNuProb",811.985703532636
54,"TTNuProb",757.079887767179
55,"TTNuProb",794.061616129291
56,"TTNuProb",676.533207766773
57,"TTNuProb",531.329187015727
58,"TTNuProb",899.650143012541
59,"TTNuProb",828.609215778426
60,"TTNuProb",527.803738648211
61,"TTNuProb",897.871483778179
62,"TTNuProb",864.261303721168
63,"TTNuProb",1001
64,"TTNuProb",855.306185567227
65,"TTNuProb",641.191219935351
66,"TTNuProb",772.834409280565
67,"TTNuProb",806.680526747068
68,"TTNuProb",829.958848258519
69,"TTNuProb",655.408875986023
70,"TTNuProb",788.678003790619
71,"TTNuProb",796.910133624239
72,"TTNuProb",746.571798339848
73,"TTNuProb",1001
74,"TTNuProb",1001
75,"TTNuProb",1001
76,"TTNuProb",561.014977693493
77,"TTNuProb",819.028445941268
78,"TTNuProb",855.845698672417
79,"TTNuProb",771.285396796444
80,"TTNuProb",960.15123442956
81,"TTNuProb",851.559549305246
82,"TTNuProb",717.424052043596
83,"TTNuProb",875.435607078739
84,"TTNuProb",414.231067053458
85,"TTNuProb",846.164258173582
86,"TTNuProb",751.152537848621
87,"TTNuProb",1056.34075974754
88,"TTNuProb",779.665895543019
89,"TTNuProb",637.059224611066
90,"TTNuProb",721.006149076397
91,"TTNuProb",687.9218194014
92,"TTNuProb",510.323170558813
93,"TTNuProb",875.815795384216
94,"TTNuProb",853.469089136444
95,"TTNuProb",717.098332078401
96,"TTNuProb",891.883339936122
97,"TTNuProb",804.887956965623
98,"TTNuProb",763.393714026009
99,"TTNuProb",860.445981935617
100,"TTNuProb",1001
1,"HistorySizes",846.764447015817
2,"HistorySizes",937.719617639188
3,"HistorySizes",637.84777915081
4,"HistorySizes",747.939400962979
5,"HistorySizes",599.41386373641
6,"HistorySizes",765.693288915261
7,"HistorySizes",544.917746337806
8,"HistorySizes",865.844221806925
9,"HistorySizes",841.108748564542
10,"HistorySizes",887.130667880971
11,"HistorySizes",1001
12,"HistorySizes",685.605327328763
13,"HistorySizes",743.27914637048
14,"HistorySizes",654.012974306373
15,"HistorySizes",854.099065478089
16,"HistorySizes",850.419900533999
17,"HistorySizes",897.448780132065
18,"HistorySizes",638.205862313004
19,"HistorySizes",575.141360749621
20,"HistorySizes",1107.31753207702
21,"HistorySizes",735.376904090032
22,"HistorySizes",652.498406630676
23,"HistorySizes",893.335385102989
24,"HistorySizes",890.712898535786
25,"HistorySizes",1001
26,"HistorySizes",831.550068442144
27,"HistorySizes",883.710290979507
28,"HistorySizes",1001
29,"HistorySizes",1001.00000000002
30,"HistorySizes",870.685492531489
31,"HistorySizes",782.933447604006
32,"HistorySizes",864.335854752173
33,"HistorySizes",840.770185393004
34,"HistorySizes",577.131402979921
35,"HistorySizes",873.825861740431
36,"HistorySizes",944.792750950379
37,"HistorySizes",1001.00000000001
38,"HistorySizes",876.087841670958
39,"HistorySizes",436.71276879707
40,"HistorySizes",529.047702608392
41,"HistorySizes",903.753645987634
42,"HistorySizes",868.444702933613
43,"HistorySizes",404.568503276897
44,"HistorySizes",1001
45,"HistorySizes",804.513745375613
46,"HistorySizes",748.522784506102
47,"HistorySizes",894.249124826171
48,"HistorySizes",768.613940993812
49,"HistorySizes",421.369308536818
50,"HistorySizes",1001
51,"HistorySizes",772.201499012501
52,"HistorySizes",1001
53,"HistorySizes",1104.42989818153
54,"HistorySizes",895.794282944641
55,"HistorySizes",913.122272525858
56,"HistorySizes",680.524690201798
57,"HistorySizes",844.676076002724
58,"HistorySizes",785.146895842301
59,"HistorySizes",1193.72263537811
60,"HistorySizes",658.406569530995
61,"HistorySizes",767.922565158657
62,"HistorySizes",812.751475141441
63,"HistorySizes",1001
64,"HistorySizes",938.061267937039
65,"HistorySizes",882.406478745097
66,"HistorySizes",649.244897981472
67,"HistorySizes",716.408389504492
68,"HistorySizes",1001
69,"HistorySizes",1001
70,"HistorySizes",891.296088976623
71,"HistorySizes",782.411297149163
72,"HistorySizes",879.28289965844
73,"HistorySizes",1001
74,"HistorySizes",1001
75,"HistorySizes",1001
76,"HistorySizes",1001
77,"HistorySizes",912.032882572808
78,"HistorySizes",865.300579019181
79,"HistorySizes",1064.15831874593
80,"HistorySizes",884.376235443667
81,"HistorySizes",1001
82,"HistorySizes",904.511814365497
83,"HistorySizes",1090.6833369358
84,"HistorySizes",373.058859424139
85,"HistorySizes",909.248460723669
86,"HistorySizes",1001
87,"HistorySizes",875.529938226003
88,"HistorySizes",1001
89,"HistorySizes",1001
90,"HistorySizes",591.575572614912
91,"HistorySizes",887.922633286704
92,"HistorySizes",883.072471316008
93,"HistorySizes",838.266155653031
94,"HistorySizes",835.884317293194
95,"HistorySizes",638.512647431142
96,"HistorySizes",833.984093165024
97,"HistorySizes",814.839552523035
98,"HistorySizes",624.078880424755
99,"HistorySizes",1001
100,"HistorySizes",1001
