"replicate","variable","value"
1,"posterior",661.606692491364
2,"posterior",1001
3,"posterior",1001
4,"posterior",1001
5,"posterior",1001
6,"posterior",1001
7,"posterior",1001
8,"posterior",907.215627010937
9,"posterior",1001
10,"posterior",879.772675408387
11,"posterior",896.180640923711
12,"posterior",1001
13,"posterior",862.659759854026
14,"posterior",1001
15,"posterior",742.029088928729
16,"posterior",775.731233986549
17,"posterior",792.397429792542
18,"posterior",595.324061866229
19,"posterior",1001
20,"posterior",827.026098745062
21,"posterior",1001
22,"posterior",1001
23,"posterior",899.650652415658
24,"posterior",1001
25,"posterior",892.410946939226
26,"posterior",888.183947395216
27,"posterior",1001
28,"posterior",807.878473589024
29,"posterior",1001
30,"posterior",1001
31,"posterior",1001
32,"posterior",1001
33,"posterior",1001
34,"posterior",1001
35,"posterior",699.738021235911
36,"posterior",1094.17692442405
37,"posterior",587.749728892931
38,"posterior",940.033761020989
39,"posterior",1001
40,"posterior",863.688515247058
41,"posterior",769.989397100991
42,"posterior",796.291903483541
43,"posterior",1001
44,"posterior",1001
45,"posterior",1001
46,"posterior",1095.8817232053
47,"posterior",894.405423001814
48,"posterior",966.176885532331
49,"posterior",1001
50,"posterior",1016.5140335962
51,"posterior",852.400823363289
52,"posterior",888.066966536443
53,"posterior",1001
54,"posterior",900.49413923257
55,"posterior",1001
56,"posterior",1001
57,"posterior",776.23476143938
58,"posterior",1001
59,"posterior",1001
60,"posterior",826.161076437907
61,"posterior",1001
62,"posterior",1001
63,"posterior",1001
64,"posterior",1001
65,"posterior",712.381595348229
66,"posterior",746.58033923318
67,"posterior",1001
68,"posterior",668.266915087482
69,"posterior",886.797492301799
70,"posterior",1001
71,"posterior",909.105420990933
72,"posterior",865.739331124661
73,"posterior",1001
74,"posterior",1001
75,"posterior",1001
76,"posterior",617.963690770981
77,"posterior",1001
78,"posterior",1001
79,"posterior",875.429004807039
80,"posterior",1001
81,"posterior",1009.20488840659
82,"posterior",1001
83,"posterior",1001
84,"posterior",1001
85,"posterior",1001
86,"posterior",874.962111399694
87,"posterior",906.257281937384
88,"posterior",1001
89,"posterior",624.969648023683
90,"posterior",888.435626613352
91,"posterior",782.946781020601
92,"posterior",886.38620610344
93,"posterior",1001
94,"posterior",662.003848163355
95,"posterior",1001
96,"posterior",482.650323548564
97,"posterior",1001
98,"posterior",1001
99,"posterior",1122.76780049493
100,"posterior",1001
1,"TTBirthRate.1",775.179032322033
2,"TTBirthRate.1",1001
3,"TTBirthRate.1",1001
4,"TTBirthRate.1",1001
5,"TTBirthRate.1",1118.09379968611
6,"TTBirthRate.1",1001
7,"TTBirthRate.1",1001
8,"TTBirthRate.1",1001
9,"TTBirthRate.1",1001
10,"TTBirthRate.1",738.983761435242
11,"TTBirthRate.1",858.530246814043
12,"TTBirthRate.1",879.297205641582
13,"TTBirthRate.1",1001
14,"TTBirthRate.1",1001
15,"TTBirthRate.1",1001
16,"TTBirthRate.1",803.321177410052
17,"TTBirthRate.1",777.201191728375
18,"TTBirthRate.1",1001
19,"TTBirthRate.1",1001
20,"TTBirthRate.1",762.514870282371
21,"TTBirthRate.1",1001
22,"TTBirthRate.1",1172.87986989552
23,"TTBirthRate.1",1001
24,"TTBirthRate.1",1001
25,"TTBirthRate.1",894.029302524362
26,"TTBirthRate.1",873.330639596892
27,"TTBirthRate.1",1001
28,"TTBirthRate.1",836.331509913131
29,"TTBirthRate.1",1001
30,"TTBirthRate.1",1001
31,"TTBirthRate.1",1001
32,"TTBirthRate.1",897.62356293906
33,"TTBirthRate.1",895.717820546453
34,"TTBirthRate.1",881.324437374413
35,"TTBirthRate.1",687.329235061181
36,"TTBirthRate.1",1001
37,"TTBirthRate.1",800.610644726912
38,"TTBirthRate.1",744.195594645096
39,"TTBirthRate.1",1001
40,"TTBirthRate.1",528.23789657164
41,"TTBirthRate.1",805.743972299101
42,"TTBirthRate.1",755.90573675555
43,"TTBirthRate.1",1160.67583634076
44,"TTBirthRate.1",876.171971420603
45,"TTBirthRate.1",1001
46,"TTBirthRate.1",1001
47,"TTBirthRate.1",776.185996972695
48,"TTBirthRate.1",1148.13587315806
49,"TTBirthRate.1",802.251054069896
50,"TTBirthRate.1",671.150155275486
51,"TTBirthRate.1",589.552145877062
52,"TTBirthRate.1",1001
53,"TTBirthRate.1",1001
54,"TTBirthRate.1",1001
55,"TTBirthRate.1",850.192277889944
56,"TTBirthRate.1",793.876127557319
57,"TTBirthRate.1",817.281383771902
58,"TTBirthRate.1",873.015643014485
59,"TTBirthRate.1",1001
60,"TTBirthRate.1",828.999518358599
61,"TTBirthRate.1",1001
62,"TTBirthRate.1",889.15238064015
63,"TTBirthRate.1",852.803963509978
64,"TTBirthRate.1",1001
65,"TTBirthRate.1",498.102360749026
66,"TTBirthRate.1",890.50502105163
67,"TTBirthRate.1",1149.6971282587
68,"TTBirthRate.1",854.279653116115
69,"TTBirthRate.1",1001
70,"TTBirthRate.1",894.187028575666
71,"TTBirthRate.1",866.262127358406
72,"TTBirthRate.1",1001
73,"TTBirthRate.1",909.529461486711
74,"TTBirthRate.1",1209.06645784592
75,"TTBirthRate.1",884.898015378035
76,"TTBirthRate.1",660.318282059478
77,"TTBirthRate.1",884.545704171405
78,"TTBirthRate.1",911.493668810686
79,"TTBirthRate.1",805.169194762603
80,"TTBirthRate.1",1001
81,"TTBirthRate.1",1001
82,"TTBirthRate.1",1031.9553422388
83,"TTBirthRate.1",1001
84,"TTBirthRate.1",861.125756191806
85,"TTBirthRate.1",1001
86,"TTBirthRate.1",1001
87,"TTBirthRate.1",1001
88,"TTBirthRate.1",1001
89,"TTBirthRate.1",644.887152125874
90,"TTBirthRate.1",779.828620966031
91,"TTBirthRate.1",817.333802636093
92,"TTBirthRate.1",599.037346968628
93,"TTBirthRate.1",864.752199385925
94,"TTBirthRate.1",822.257337889274
95,"TTBirthRate.1",726.639430438363
96,"TTBirthRate.1",910.693437686137
97,"TTBirthRate.1",1001
98,"TTBirthRate.1",1001
99,"TTBirthRate.1",1001
100,"TTBirthRate.1",1001
1,"TTBirthRate.2",355.062649733835
2,"TTBirthRate.2",844.090537787378
3,"TTBirthRate.2",761.894817597812
4,"TTBirthRate.2",1001
5,"TTBirthRate.2",1033.69758722871
6,"TTBirthRate.2",746.471608104504
7,"TTBirthRate.2",905.314674474713
8,"TTBirthRate.2",791.641259193198
9,"TTBirthRate.2",1214.08715051844
10,"TTBirthRate.2",477.252985826859
11,"TTBirthRate.2",530.791515213733
12,"TTBirthRate.2",463.71692447315
13,"TTBirthRate.2",607.662479800025
14,"TTBirthRate.2",710.0547517511
15,"TTBirthRate.2",771.23476456941
16,"TTBirthRate.2",404.90352939809
17,"TTBirthRate.2",461.8408607671
18,"TTBirthRate.2",349.568557801338
19,"TTBirthRate.2",851.621068849235
20,"TTBirthRate.2",623.831596880783
21,"TTBirthRate.2",893.99000796632
22,"TTBirthRate.2",1001
23,"TTBirthRate.2",424.38637547324
24,"TTBirthRate.2",846.162499591743
25,"TTBirthRate.2",363.275228091066
26,"TTBirthRate.2",559.697562326366
