"fns_1","fns_2","fns_3","fns_4","fns_5","variable","replicate"
-46.38735833061,-43.2703081706749,-42.817487069916,-41.1588811328913,-40.2893799924076,"posterior",1
0.0849382901592547,0.114804970696781,0.153395015090239,0.170443396529938,0.237793867503925,"TTBirthRate.1",1
0.0112843086042396,0.041880917659581,0.102974484351043,0.117726625984467,0.224579809849448,"TTBirthRate.2",1
0.00258662906326882,0.00507854534939881,0.0103595034761063,0.0119823196439166,0.0250536622015606,"TTSamplingRate",1
0.0165484976575881,0.0354440494557025,0.0532044898888821,0.0635300222009721,0.103775323438184,"TTOmegaRate",1
0,2,10,11,32,"HistorySizes",1
0.552927563021369,0.947057165381942,1.38813673260986,1.59845977103636,2.40682511792558,"R0.1",1
0.122864217919836,0.42405988965611,0.937019881654902,1.08778453974773,1.97907900330136,"R0.2",1
-140.663935051368,-137.298868745979,-136.844906670512,-135.568168238,-134.959692490173,"posterior",2
0.160884466232952,0.176019657937628,0.189413446093559,0.195759852242834,0.219093539313977,"TTBirthRate.1",2
0.0500873895766333,0.0791789322574014,0.0959318258250052,0.110294418179809,0.142019566566813,"TTBirthRate.2",2
0.00557942920668077,0.00822595392308314,0.00985987866890653,0.0110177400998298,0.0142089109820515,"TTSamplingRate",2
0.0373504609471631,0.0488768576095659,0.054606447898388,0.0610147405573704,0.0738532865142374,"TTOmegaRate",2
60,81,109,119,178,"HistorySizes",2
1.35477893485345,1.60223718021929,1.71266574023183,1.86594250002395,2.15271978856171,"R0.1",2
0.536624252074259,0.737649170837782,0.867159187164217,0.986745346191535,1.26889829972355,"R0.2",2
-125.952375454967,-122.346364184595,-122.168642006381,-120.623610798703,-120.030023381676,"posterior",3
0.140698220469105,0.163165771982503,0.17503910161835,0.186415652052517,0.212183042688608,"TTBirthRate.1",3
0.0535131744823539,0.0806079084380661,0.102795528808359,0.116384071854247,0.157232270953876,"TTBirthRate.2",3
0.00350651909745816,0.00497828446784933,0.00703797026728098,0.00777680535873365,0.0122006464652829,"TTSamplingRate",3
0.0213211897871188,0.0318204711791819,0.0378208478600891,0.0437848899027762,0.0568704113251286,"TTOmegaRate",3
58,81,120,132,227,"HistorySizes",3
1.31205726121637,1.75517250599708,1.92117573084214,2.18628444366598,2.5477893561106,"R0.1",3
0.682947381759434,1.02178534183419,1.14414477949293,1.38609266630243,1.70104107615994,"R0.2",3
-124.823863386362,-121.102559461497,-120.84021543412,-119.36145861125,-118.857623921722,"posterior",4
0.173787863840933,0.185492503462129,0.192416446534773,0.198556610632744,0.212226926517561,"TTBirthRate.1",4
0.0614955392142299,0.0809887130282723,0.0906017410262054,0.0992814400118215,0.1191597420498,"TTBirthRate.2",4
0.00905315720304489,0.0112430037622689,0.0124793066302153,0.0134373198021853,0.0160193009776581,"TTSamplingRate",4
0.0426041262470543,0.0482842448839324,0.0532452691983771,0.0562772155577758,0.0655587336592917,"TTOmegaRate",4
161,206,236,261,329,"HistorySizes",4
1.48697754719873,1.63700151195448,1.73014451748484,1.81665873220833,2.01824412084038,"R0.1",4
0.575128638029846,0.737542524529493,0.807142678416283,0.882653421063578,1.02552545506721,"R0.2",4
-9.88571475104153,-6.66560760376468,-6.37653935277498,-4.95312434091961,-4.4000468246398,"posterior",5
0.182316036403061,0.198807567464443,0.207415976716783,0.217663914188951,0.238002215489365,"TTBirthRate.1",5
0.0566314657716223,0.0822817266233541,0.0978757057613084,0.107131622939804,0.13250108709143,"TTBirthRate.2",5
0.00479547646684333,0.00710395242540518,0.00812643887030092,0.00944673579359487,0.0118516353472683,"TTSamplingRate",5
0.0338005214931123,0.0455104749257065,0.051388642977374,0.0558369723785733,0.0660370601570446,"TTOmegaRate",5
124,162,206,222,302,"HistorySizes",5
1.53599909948051,1.79197293155906,1.95817146645668,2.08101109726185,2.39191542255803,"R0.1",5
0.625881619703643,0.823387593655312,0.924671413682236,1.03016229955392,1.24280206288549,"R0.2",5
-32.6148603381573,-29.2493458192844,-28.8852456673488,-27.5099526598551,-26.8397066315602,"posterior",6
0.201986627160199,0.229325635391091,0.24387987937795,0.258932618900799,0.290500650607186,"TTBirthRate.1",6
0.0168771211750081,0.0377881691496196,0.0568332385505333,0.0669497826580564,0.107013986116711,"TTBirthRate.2",6
0.00298012926986853,0.00454369255280524,0.00617367961990827,0.00705254437267336,0.0108010970113448,"TTSamplingRate",6
0.0274540000561817,0.0357172732600416,0.0476873559599317,0.051248132427933,0.0721169679898178,"TTOmegaRate",6
42,71,99,110,169,"HistorySizes",6
1.70440853703156,2.08806987597674,2.43078438206731,2.61631837079118,3.27215398532402,"R0.1",6
0.197333603037896,0.446456547671069,0.565471751284271,0.709968168354247,0.956830130206124,"R0.2",6
60.6308310121942,63.6267302004388,64.0505611890481,65.4513437803869,66.0349989923418,"posterior",7
0.164288674195518,0.177473153932776,0.184196892675295,0.18924275315195,0.200351310810516,"TTBirthRate.1",7
0.0605060503883667,0.0777761280311809,0.0870314026312881,0.09663881105858,0.119862205703803,"TTBirthRate.2",7
0.00579039393785107,0.00744520485343919,0.00822976036805456,0.00908829521518744,0.0108908562921215,"TTSamplingRate",7
0.0359220932414564,0.0416359719285877,0.0459251684104179,0.0491456511022807,0.0572463687951216,"TTOmegaRate",7
216,281,327,355,441,"HistorySizes",7
1.55840583191812,1.68800349324113,1.8376212837842,1.89476689756672,2.11732717391433,"R0.1",7
0.591964293941385,0.775622761636097,0.869805669153783,0.950724176797674,1.11028548577007,"R0.2",7
-100.889243099619,-97.2444133781954,-97.0082295359108,-95.4534827234177,-94.9933646618017,"posterior",8
0.143125228921595,0.166089106771459,0.178784091786926,0.189231310592239,0.213280354060384,"TTBirthRate.1",8
0.0471810169127132,0.0720650976383642,0.0949949709975333,0.107848789021608,0.154971732977468,"TTBirthRate.2",8
0.00243874224139476,0.00443330459639389,0.006050387602473,0.0068408969038286,0.00988913781205806,"TTSamplingRate",8
0.0267247999064355,0.036978094841839,0.0439834667435852,0.0503135408615473,0.0685798166375552,"TTOmegaRate",8
40,67,98,109,174,"HistorySizes",8
1.29955535327788,1.66151475905338,1.85693483792041,2.03942336739154,2.38921405686003,"R0.1",8
0.503924193820356,0.760670211944968,0.981555067802412,1.11045359186726,1.5012504184275,"R0.2",8
-128.081558122844,-124.929682247911,-124.770467490025,-123.226963313968,-122.703098949135,"posterior",9
0.147409675147142,0.170258110885282,0.188350488702796,0.201936933847946,0.245037416610166,"TTBirthRate.1",9
0.0885368037976492,0.130505854407816,0.153012301928888,0.173951292095958,0.216197481201197,"TTBirthRate.2",9
0.00460707975156109,0.0078322741203578,0.0108475467345347,0.0120861941699218,0.0185740826624944,"TTSamplingRate",9
0.0326594837320609,0.0443483777446747,0.0551199892394473,0.0620969544569497,0.0818937609656165,"TTOmegaRate",9
38,55,87,95,156,"HistorySizes",9
1.15802857381435,1.4309101564842,1.69199276969809,1.85630846132812,2.41455447113446,"R0.1",9
0.873743597470141,1.20996439639348,1.35538969616587,1.56327263114166,1.94223980788598,"R0.2",9
-93.6355072050606,-90.3522854018909,-90.0341612198349,-88.5830032916894,-88.1544545927949,"posterior",10
0.124949306455565,0.169698379164431,0.196548175258368,0.222103190808076,0.281280561438615,"TTBirthRate.1",10
0.0296781549229313,0.0843042720176688,0.104993755651612,0.146300771992011,0.193520025379381,"TTBirthRate.2",10
0.00761544590965049,0.0127090737809123,0.019588237586442,0.0224114446065005,0.036964839753555,"TTSamplingRate",10
0.0247767656165342,0.034935324882122,0.0491966219330527,0.0553986702812135,0.085905900791381,"TTOmegaRate",10
3,6,18,19,46,"HistorySizes",10
0.81680186687592,1.34669256914747,1.68615773797123,1.95324827468807,2.7386436282615,"R0.1",10
0.2251529828924,0.667311484963324,0.915067901833121,1.15668495568219,1.60337160933322,"R0.2",10
-105.41133285801,-102.510183992194,-102.070153534623,-100.71539317883,-99.9379825990542,"posterior",11
0.152454122199493,0.175236393723292,0.195286202840112,0.207132487476761,0.249058282402848,"TTBirthRate.1",11
